,Tahun,BI_Rate,BBM,Kurs_USD_IDR,Harga_Beras,Inflasi_Inti,Inflasi_Total,bulan_sin,bulan_cos
0,2013,5.75,4900.0,11247.5,8834.82,0.36,4.57,0.49999999999999994,0.8660254037844387
1,2013,5.75,4900.0,11247.5,8842.94,0.3,5.31,0.8660254037844386,0.5000000000000001
2,2013,5.75,4900.0,11247.5,8782.58,0.13,5.9,1.0,6.123233995736766e-17
3,2013,5.75,4900.0,11247.5,8711.39,0.14,5.57,0.8660254037844387,-0.4999999999999998
4,2013,5.75,4900.0,11247.5,8681.21,0.06,5.47,0.49999999999999994,-0.8660254037844387
5,2013,6.0,6500.0,11247.5,8784.42,0.32,5.9,1.2246467991473532e-16,-1.0
6,2013,6.5,6500.0,11247.5,9017.72,0.5462499999999999,8.375,-0.4999999999999997,-0.8660254037844388
7,2013,7.0,6500.0,11247.5,9056.67,0.5462499999999999,8.375,-0.8660254037844384,-0.5000000000000004
8,2013,7.25,6500.0,11570.0,9057.99,0.5462499999999999,8.375,-1.0,-1.8369701987210297e-16
9,2013,7.25,6500.0,11265.0,9108.46,0.34,8.32,-0.8660254037844386,0.5000000000000001
10,2013,7.5,6500.0,11955.0,9152.07,0.2,8.37,-0.5000000000000004,0.8660254037844384
11,2013,7.5,6500.0,12160.0,9262.0,0.45,8.375,-2.4492935982947064e-16,1.0
12,2014,7.5,6500.0,12205.0,9433.17,0.5462499999999999,8.22,0.49999999999999994,0.8660254037844387
13,2014,7.5,6500.0,11604.0,9531.2,0.37,7.75,0.8660254037844386,0.5000000000000001
14,2014,7.5,6500.0,11355.0,9595.89,0.21,7.32,1.0,6.123233995736766e-17
15,2014,7.5,6500.0,11558.0,9424.65,0.24,7.25,0.8660254037844387,-0.4999999999999998
16,2014,7.5,6500.0,11670.0,9413.91,0.23,7.32,0.49999999999999994,-0.8660254037844387
17,2014,7.5,6500.0,11845.0,9462.01,0.25,6.7,1.2246467991473532e-16,-1.0
18,2014,7.5,6500.0,11575.0,9525.38,0.52,4.53,-0.4999999999999997,-0.8660254037844388
19,2014,7.5,6500.0,11685.0,9525.38,0.46,3.99,-0.8660254037844384,-0.5000000000000004
20,2014,7.5,6500.0,12180.0,9693.67,0.29,4.53,-1.0,-1.8369701987210297e-16
21,2014,7.5,6500.0,12080.0,9780.91,0.27,4.83,-0.8660254037844386,0.5000000000000001
22,2014,7.75,8500.0,12199.0,9924.39,0.4,6.23,-0.5000000000000004,0.8660254037844384
23,2014,7.75,8500.0,12380.0,10343.98,0.5462499999999999,8.36,-2.4492935982947064e-16,1.0
24,2015,7.75,6700.0,12665.0,10612.11,0.5462499999999999,6.96,0.49999999999999994,0.8660254037844387
25,2015,7.5,6800.0,12920.0,10765.74,0.34,6.29,0.8660254037844386,0.5000000000000001
26,2015,7.5,7300.0,13070.0,10986.76,0.29,6.38,1.0,6.123233995736766e-17
27,2015,7.5,6800.0,12960.0,10648.34,0.24,6.79,0.8660254037844387,-0.4999999999999998
28,2015,7.5,6800.0,13223.0,10568.63,0.23,7.15,0.49999999999999994,-0.8660254037844387
29,2015,7.5,6800.0,13330.0,10679.0,0.26,7.26,1.2246467991473532e-16,-1.0
30,2015,7.5,6800.0,13525.0,10732.0,0.34,7.26,-0.4999999999999997,-0.8660254037844388
31,2015,7.5,6800.0,14045.0,10935.0,0.52,7.18,-0.8660254037844384,-0.5000000000000004
32,2015,7.5,6800.0,14645.0,11055.0,0.44,6.83,-1.0,-1.8369701987210297e-16
33,2015,7.5,6800.0,13675.0,11169.0,0.23,6.25,-0.8660254037844386,0.5000000000000001
34,2015,7.5,6800.0,13830.0,11365.0,0.16,4.89,-0.5000000000000004,0.8660254037844384
35,2015,7.5,6800.0,13785.0,11465.0,0.23,3.35,-2.4492935982947064e-16,1.0
36,2016,7.25,7050.0,13770.0,11614.37,0.29,4.14,0.49999999999999994,0.8660254037844387
37,2016,7.0,6800.0,13367.0,11729.36,0.31,4.42,0.8660254037844386,0.5000000000000001
38,2016,6.75,6800.0,13255.0,11677.75,0.21,4.45,1.0,6.123233995736766e-17
39,2016,6.75,6550.0,13180.0,11449.0,0.15,3.6,0.8660254037844387,-0.4999999999999998
40,2016,6.75,6550.0,13655.0,11417.0,0.23,3.33,0.49999999999999994,-0.8660254037844387
41,2016,6.5,6550.0,13210.0,11469.0,0.33,3.45,1.2246467991473532e-16,-1.0
42,2016,6.5,6550.0,13097.0,11498.0,0.34,3.21,-0.4999999999999997,-0.8660254037844388
43,2016,5.25,6550.0,13265.0,11475.0,0.36,2.79,-0.8660254037844384,-0.5000000000000004
44,2016,5.0,6550.0,13047.0,11448.0,0.33,3.07,-1.0,-1.8369701987210297e-16
45,2016,4.75,6550.0,13047.0,11432.58,0.1,3.31,-0.8660254037844386,0.5000000000000001
46,2016,4.75,6550.0,13550.0,11450.0,0.15,3.58,-0.5000000000000004,0.8660254037844384
47,2016,4.75,6550.0,13470.0,11476.0,0.23,3.02,-2.4492935982947064e-16,1.0
48,2017,4.75,6550.0,13347.0,11579.0,0.5462499999999999,3.49,0.49999999999999994,0.8660254037844387
49,2017,4.75,6550.0,13331.0,11571.24,0.37,3.83,0.8660254037844386,0.5000000000000001
50,2017,4.75,6550.0,13323.0,11494.0,0.1,3.61,1.0,6.123233995736766e-17
51,2017,4.75,6550.0,13327.0,11449.0,0.13,4.17,0.8660254037844387,-0.4999999999999998
52,2017,4.75,6550.0,13321.0,11465.0,0.16,4.33,0.49999999999999994,-0.8660254037844387
53,2017,4.75,6550.0,13325.0,11465.0,0.26,4.37,1.2246467991473532e-16,-1.0
54,2017,4.75,6550.0,13324.0,11448.0,0.26,3.88,-0.4999999999999997,-0.8660254037844388
55,2017,4.5,6550.0,13342.0,11411.0,0.28,3.82,-0.8660254037844384,-0.5000000000000004
56,2017,4.25,6550.0,13470.0,11481.84,0.35,3.72,-1.0,-1.8369701987210297e-16
57,2017,4.25,6550.0,13560.0,11552.0,0.17,3.58,-0.8660254037844386,0.5000000000000001
58,2017,4.25,6550.0,13524.0,11665.08,0.13,3.3,-0.5000000000000004,0.8660254037844384
59,2017,4.25,6550.0,13565.0,11838.0,0.13,3.61,-2.4492935982947064e-16,1.0
60,2018,4.25,6550.0,13387.0,12276.0,0.31,3.25,0.49999999999999994,0.8660254037844387
61,2018,4.25,6550.0,13740.0,12414.0,0.26,3.18,0.8660254037844386,0.5000000000000001
62,2018,4.25,6550.0,13760.0,12299.0,0.19,3.4,1.0,6.123233995736766e-17
63,2018,4.25,6550.0,13910.0,12035.0,0.15,3.41,0.8660254037844387,-0.4999999999999998
64,2018,4.75,6550.0,13890.0,11943.0,0.21,3.23,0.49999999999999994,-0.8660254037844387
65,2018,5.25,6550.0,14325.0,11907.26,0.24,3.12,1.2246467991473532e-16,-1.0
66,2018,5.25,6550.0,14415.0,11936.0,0.41,3.18,-0.4999999999999997,-0.8660254037844388
67,2018,5.5,6550.0,14725.0,11899.0,0.3,3.2,-0.8660254037844384,-0.5000000000000004
68,2018,5.75,6550.0,14900.0,11900.0,0.28,2.88,-1.0,-1.8369701987210297e-16
69,2018,5.75,6550.0,15200.0,11926.21,0.29,3.16,-0.8660254037844386,0.5000000000000001
70,2018,6.0,6550.0,14300.0,12013.0,0.22,3.23,-0.5000000000000004,0.8660254037844384
71,2018,6.0,6550.0,14375.0,12105.77,0.17,3.13,-2.4492935982947064e-16,1.0
72,2019,6.0,6550.0,13970.0,12211.09,0.3,2.82,0.49999999999999994,0.8660254037844387
73,2019,6.0,6550.0,14060.0,12222.0,0.26,2.57,0.8660254037844386,0.5000000000000001
74,2019,6.0,6550.0,14235.0,12124.0,0.16,2.48,1.0,6.123233995736766e-17
